cate,num,num_sec,protect_unit,province,rx_time,title,type
新增项目,Ⅰ-78,78,厦门市集美区灌口小学（福建省厦门实验小学集美分校）,福建省厦门市,2008</br>(第二批),童谣（闽南童谣）,民间文学
扩展项目,Ⅰ-78,78,绍兴市文化馆、绍兴市非物质文化遗产保护中心,浙江省绍兴市,2014</br>(第四批),童谣（绍兴童谣）,民间文学
扩展项目,Ⅰ-78,78,古城区非物质文化遗产保护管理中心,云南省丽江市古城区,2021</br>(第五批),童谣（纳西族童谣）,民间文学
新增项目,Ⅰ-79,79,桐城市文化馆,安徽省桐城市,2008</br>(第二批),桐城歌,民间文学
新增项目,Ⅰ-80,80,龙山县非物质文化遗产保护中心,湖南省龙山县,2008</br>(第二批),土家族梯玛歌,民间文学
新增项目,Ⅰ-81,81,雷州市雷歌研究会,广东省雷州市,2008</br>(第二批),雷州歌,民间文学
新增项目,Ⅰ-82,82,平果县民俗文化传承展示中心,广西壮族自治区平果县,2008</br>(第二批),壮族嘹歌,民间文学
新增项目,Ⅰ-83,83,新疆阿克陶县文化馆,新疆维吾尔自治区阿克陶县,2008</br>(第二批),柯尔克孜约隆,民间文学
新增项目,Ⅰ-83,83,新疆师范大学,新疆师范大学,2008</br>(第二批),柯尔克孜约隆,民间文学
新增项目,Ⅰ-84,84,万荣县笑话研究会,山西省万荣县,2008</br>(第二批),笑话（万荣笑话）,民间文学
新增项目,Ⅰ-85,85,北京市东城区第二文化馆（北京市东城区非物质文化遗产保护中心）,北京市东城区,2011</br>(第三批),天坛传说,民间文学
新增项目,Ⅰ-86,86,北京市植物园,北京市海淀区,2011</br>(第三批),曹雪芹传说,民间文学
新增项目,Ⅰ-87,87,平泉市文化馆,河北省平泉县,2011</br>(第三批),契丹始祖传说,民间文学
新增项目,Ⅰ-88,88,盂县人民文化馆,山西省盂县,2011</br>(第三批),赵氏孤儿传说,民间文学
新增项目,Ⅰ-89,89,晋城市城区文化馆,山西省晋城市城区,2011</br>(第三批),白马拖缰传说,民间文学
新增项目,Ⅰ-90,90,沁水县人民文化馆,山西省沁水县,2011</br>(第三批),舜的传说,民间文学
新增项目,Ⅰ-90,90,诸城市文化馆,山东省诸城市,2011</br>(第三批),舜的传说,民间文学
新增项目,Ⅰ-91,91,汶川县文化馆,四川省汶川县,2011</br>(第三批),禹的传说,民间文学
新增项目,Ⅰ-91,91,北川羌族自治县文化馆,四川省北川羌族自治县,2011</br>(第三批),禹的传说,民间文学
扩展项目,Ⅰ-91,91,武汉市晴川阁管理处（武汉大禹文化博物馆）,湖北省武汉市汉阳区,2021</br>(第五批),禹的传说（武汉大禹治水传说）,民间文学
新增项目,Ⅰ-92,92,德清县文化馆,浙江省德清县,2011</br>(第三批),防风传说,民间文学
新增项目,Ⅰ-93,93,泸溪县非物质文化遗产保护中心,湖南省泸溪县,2011</br>(第三批),盘瓠传说,民间文学
新增项目,Ⅰ-94,94,山东省东明县文化馆,山东省东明县,2011</br>(第三批),庄子传说,民间文学
新增项目,Ⅰ-95,95,潍坊市寒亭区文化馆,山东省潍坊市寒亭区,2011</br>(第三批),柳毅传说,民间文学
新增项目,Ⅰ-96,96,黄梅县文化馆,湖北省黄梅县,2011</br>(第三批),禅宗祖师传说,民间文学
扩展项目,Ⅰ-96,96,新兴县文化馆,广东省云浮市新兴县,2021</br>(第五批),禅宗祖师传说（六祖传说）,民间文学
新增项目,Ⅰ-97,97,宁波市奉化区弥勒文化研究会,浙江省奉化市,2011</br>(第三批),布袋和尚传说,民间文学
新增项目,Ⅰ-98,98,杭州市临安区文化馆（杭州市临安区非物质文化遗产保护中心）,浙江省临安市,2011</br>(第三批),钱王传说,民间文学
新增项目,Ⅰ-99,99,杭州名人纪念馆,浙江省杭州市,2011</br>(第三批),苏东坡传说,民间文学
扩展项目,Ⅰ-99,99,黄冈市群众艺术馆（黄冈市民俗博物馆）,湖北省黄冈市,2014</br>(第四批),苏东坡传说,民间文学
新增项目,Ⅰ-100,100,绍兴市文化馆、绍兴市非物质文化遗产保护中心,浙江省绍兴市,2011</br>(第三批),王羲之传说,民间文学
新增项目,Ⅰ-101,101,蕲春县文化馆,湖北省蕲春县,2011</br>(第三批),李时珍传说,民间文学
新增项目,Ⅰ-102,102,汉中市民间文艺家协会,陕西省汉中市,2011</br>(第三批),蔡伦造纸传说,民间文学
新增项目,Ⅰ-103,103,菏泽市牡丹区文化馆,山东省菏泽市牡丹区,2011</br>(第三批),牡丹传说,民间文学
新增项目,Ⅰ-104,104,泰安市泰山景区教育中心,山东省泰安市,2011</br>(第三批),泰山传说,民间文学
新增项目,Ⅰ-105,105,武汉市黄鹤楼公园管理处,湖北省武汉市武昌区,2011</br>(第三批),黄鹤楼传说,民间文学
新增项目,Ⅰ-106,106,陵川县人民文化馆,山西省陵川县,2011</br>(第三批),烂柯山的传说,民间文学
新增项目,Ⅰ-106,106,衢州市文化馆（衢州市非物质文化遗产保护中心）,浙江省衢州市,2011</br>(第三批),烂柯山的传说,民间文学
新增项目,Ⅰ-107,107,西藏林芝市米林县文化和旅游局,西藏自治区米林县,2011</br>(第三批),珞巴族始祖传说,民间文学
新增项目,Ⅰ-108,108,果洛藏族自治州群众艺术馆,青海省果洛藏族自治州,2011</br>(第三批),阿尼玛卿雪山传说,民间文学
新增项目,Ⅰ-109,109,沈阳市于洪区文化馆,辽宁省沈阳市,2011</br>(第三批),锡伯族民间故事,民间文学
新增项目,Ⅰ-110,110,西藏那曲市嘉黎县文化和旅游局,西藏自治区嘉黎县,2011</br>(第三批),嘉黎民间故事,民间文学
新增项目,Ⅰ-111,111,温州市洞头区民间文艺工作者协会,浙江省洞头县,2011</br>(第三批),海洋动物故事,民间文学
新增项目,Ⅰ-112,112,永顺县非物质文化遗产保护中心,湖南省永顺县,2011</br>(第三批),土家族哭嫁歌,民间文学
新增项目,Ⅰ-112,112,古丈县非物质文化遗产保护中心,湖南省古丈县,2011</br>(第三批),土家族哭嫁歌,民间文学
新增项目,Ⅰ-113,113,富宁县文化馆,云南省富宁县,2011</br>(第三批),坡芽情歌,民间文学
新增项目,Ⅰ-114,114,东乌珠穆沁旗文化馆,内蒙古自治区东乌珠穆沁旗,2011</br>(第三批),祝赞词,民间文学
新增项目,Ⅰ-114,114,博湖县非物质文化遗产保护中心,新疆维吾尔自治区博湖县,2011</br>(第三批),祝赞词,民间文学
新增项目,Ⅰ-114,114,和布克赛尔蒙古自治县非物质文化遗产保护中心,新疆维吾尔自治区和布克赛尔蒙古自治县,2011</br>(第三批),祝赞词,民间文学
扩展项目,Ⅰ-114,114,肃北蒙古族自治县文化馆,甘肃省酒泉市肃北蒙古族自治县,2021</br>(第五批),祝赞词（肃北蒙古族祝赞词）,民间文学
新增项目,Ⅰ-115,115,保康县文化馆,湖北省保康县,2011</br>(第三批),黑暗传,民间文学
新增项目,Ⅰ-115,115,神农架林区群众艺术馆,湖北省神农架林区,2011</br>(第三批),黑暗传,民间文学
新增项目,Ⅰ-116,116,前郭尔罗斯蒙古族自治县文化工作总站（前郭县非物质文化遗产保护中心）,吉林省前郭尔罗斯蒙古族自治县,2011</br>(第三批),陶克陶胡,民间文学
新增项目,Ⅰ-117,117,都安瑶族自治县文化馆,广西壮族自治区都安瑶族自治县,2011</br>(第三批),密洛陀,民间文学
新增项目,Ⅰ-118,118,紫云苗族布依族自治县亚鲁王文化研究中心,贵州省紫云苗族布依族自治县,2011</br>(第三批),亚鲁王,民间文学
新增项目,Ⅰ-119,119,德宏州文化馆,云南省德宏傣族景颇族自治州,2011</br>(第三批),目瑙斋瓦,民间文学
新增项目,Ⅰ-120,120,墨江哈尼族自治县文化馆,云南省墨江哈尼族自治县,2011</br>(第三批),洛奇洛耶与扎斯扎依,民间文学
新增项目,Ⅰ-121,121,弥勒市文化馆,云南省弥勒县,2011</br>(第三批),阿细先基,民间文学
新增项目,Ⅰ-122,122,汶川县文化馆,四川省汶川县,2011</br>(第三批),羌戈大战,民间文学
新增项目,Ⅰ-123,123,伊宁市文化馆,新疆维吾尔自治区伊宁市,2011</br>(第三批),恰克恰克,民间文学
新增项目,Ⅰ-124,124,酉阳土家族苗族自治县文化馆,重庆市酉阳土家族苗族自治县,2011</br>(第三批),酉阳古歌,民间文学
新增项目,Ⅰ-125,125,上海市闵行区浦江镇文化体育事业发展中心,上海市闵行区,2011</br>(第三批),谚语（沪谚）,民间文学
扩展项目,Ⅰ-125,125,榆林市群众艺术馆,陕西省榆林市,2014</br>(第四批),谚语（陕北民谚）,民间文学
扩展项目,Ⅰ-125,125,特克斯县文化馆,新疆维吾尔自治区伊犁哈萨克自治州特克斯县,2021</br>(第五批),谚语（哈萨克族谚语）,民间文学
新增项目,Ⅰ-126,126,北京市丰台区文化馆,北京市丰台区,2014</br>(第四批),卢沟桥传说,民间文学
新增项目,Ⅰ-127,127,临漳县文化馆,河北省临漳县,2014</br>(第四批),鬼谷子传说 ,民间文学
新增项目,Ⅰ-128,128,连云港市孝文化研究会,江苏省连云港市,2014</br>(第四批),东海孝妇传说,民间文学
新增项目,Ⅰ-129,129,台州市天台山文化研究会,浙江省天台县,2014</br>(第四批),刘阮传说,民间文学
新增项目,Ⅰ-130,130,怀宁县文化馆,安徽省怀宁县,2014</br>(第四批),孔雀东南飞传说,民间文学
新增项目,Ⅰ-130,130,潜山市文化馆,安徽省潜山县,2014</br>(第四批),孔雀东南飞传说,民间文学
新增项目,Ⅰ-131,131,涡阳县文化馆,安徽省涡阳县,2014</br>(第四批),老子传说,民间文学
新增项目,Ⅰ-131,131,灵宝市文化馆,河南省灵宝市,2014</br>(第四批),老子传说,民间文学
新增项目,Ⅰ-132,132,泉州市洛江区文化馆,福建省泉州市洛江区,2014</br>(第四批),陈三五娘传说,民间文学
新增项目,Ⅰ-133,133,青岛城阳流亭峄阳文化园,山东省青岛市城阳区,2014</br>(第四批),胡峄阳传说,民间文学
